normal_text,simpChatGPT,simpGemini
"ਅੱਤਵਾਦੀਆਂ ਤੇ ਨਜ਼ਰ ਰੱਖਣ ਲਈ ਜੰਮੂ ਦੇ ਪਿੰਡ ਵਾਸੀਆਂ ਨੂੰ ਹਥਿਆਰ ਟ੍ਰੇਨਿੰਗ","ਅੱਤਵਾਦੀਆਂ ‘ਤੇ ਨਿਗਰਾਨੀ ਲਈ ਜੰਮੂ ਦੇ ਪਿੰਡਾਂ ਦੇ ਲੋਕਾਂ ਨੂੰ ਹਥਿਆਰਾਂ ਦੀ ਟ੍ਰੇਨਿੰਗ ਦਿੱਤੀ ਜਾ ਰਹੀ ਹੈ","ਜੰਮੂ ਦੇ ਪਿੰਡਾਂ ਵਾਲਿਆਂ ਨੂੰ ਅੱਤਵਾਦੀਆਂ ਦਾ ਮੁਕਾਬਲਾ ਕਰਨ ਲਈ ਹਥਿਆਰ ਚਲਾਉਣੇ ਸਿਖਾਏ ਜਾ ਰਹੇ ਹਨ।"
"ਮੰਦਰਾਂ ਚ ਪੂਜਾ ਹੀ ਨਹੀਂ ਹੁਣ ਹੋਣ ਲੱਗੀਆਂ ਚੋਰੀਆਂ ਵੀ","ਮੰਦਰਾਂ ਵਿੱਚ ਹੁਣ ਪੂਜਾ ਦੇ ਨਾਲ ਚੋਰੀਆਂ ਵੀ ਹੋ ਰਹੀਆਂ ਹਨ","ਹੁਣ ਮੰਦਰਾਂ ਵਿੱਚ ਵੀ ਚੋਰੀਆਂ ਹੋਣ ਲੱਗ ਪਈਆਂ ਹਨ।"
"ਰਿਜ਼ਰਵ ਚਰਾਂਦ ਜ਼ਮੀਨ ਨੂੰ ਲੈ ਕੇ ਅਸਾਮ ਚ ਜਾਰੀ ਹਿੰਸਾ","ਰਿਜ਼ਰਵ ਚਰਾਂਦ ਜ਼ਮੀਨ ਨੂੰ ਲੈ ਕੇ ਅਸਾਮ ਵਿੱਚ ਹਿੰਸਾ ਜਾਰੀ ਹੈ","ਅਸਾਮ ਵਿੱਚ ਜ਼ਮੀਨ ਦੇ ਝਗੜੇ ਕਾਰਨ ਹਿੰਸਾ ਹੋ ਰਹੀ ਹੈ।"
"ਦੇਸ਼ ਨੂੰ ਘੁਣ ਵਾਂਗ ਖਾ ਰਿਹਾ ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਸਾਰੇ ਪੱਧਰਾਂ ਤੇ ਸਖਤ ਕਾਰਵਾਈ ਦੀ ਪਾਕਿਸਤਾਨ ਚ ਫਿਰ ਸਰਗਰਮ ਹੋਣ ਲੱਗੇ ਅੱਤਵਾਦੀ ਲਾਂਚ ਪੈਡ","ਦੇਸ਼ ਨੂੰ ਘੁਣ ਵਾਂਗ ਖਾਣ ਵਾਲਾ ਭ੍ਰਿਸ਼ਟਾਚਾਰ, ਹਰ ਪੱਧਰ ‘ਤੇ ਸਖ਼ਤ ਕਾਰਵਾਈ ਦੀ ਲੋੜ, ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਫਿਰ ਸਰਗਰਮ ਹੋ ਰਹੇ ਅੱਤਵਾਦੀ ਲਾਂਚ ਪੈਡ","ਭ੍ਰਿਸ਼ਟਾਚਾਰ ਖਿਲਾਫ ਸਖਤ ਕਾਰਵਾਈ ਦੀ ਲੋੜ ਹੈ ਅਤੇ ਪਾਕਿਸਤਾਨ ਵਿੱਚ ਅੱਤਵਾਦੀ ਅੱਡੇ ਫਿਰ ਸਰਗਰਮ ਹੋ ਗਏ ਹਨ।"
"ਬੰਗਲਾਦੇਸ਼ ਚ ਵਿਰੋਧ ਪ੍ਰਦਰਸ਼ਨ ਜਾਰੀ ਯੂਨੁਸ ਵਲੋਂ ਐਲਾਨੀਆਂ ਚੋਣਾਂ ਤੇ ਸਵਾਲੀਆ ਜੇਲਾਂ ਅਤੇ ਪੁਲਸ ਥਾਣਿਆਂ ਆਦਿ ਤੋਂ ਫਰਾਰ ਹੋ ਰਹੇ ਕੈਦੀ ਅਤੇ ਹਵਾਲਾਤੀ","ਬੰਗਲਾਦੇਸ਼ ਵਿੱਚ ਵਿਰੋਧ ਪ੍ਰਦਰਸ਼ਨ ਜਾਰੀ, ਯੂਨੁਸ ਵੱਲੋਂ ਐਲਾਨੀਆਂ ਚੋਣਾਂ ‘ਤੇ ਸਵਾਲ, ਜੇਲਾਂ ਤੇ ਥਾਣਿਆਂ ਤੋਂ ਕੈਦੀ ਭੱਜ ਰਹੇ ਹਨ","ਬੰਗਲਾਦੇਸ਼ ਵਿੱਚ ਵਿਰੋਧ ਅਤੇ ਚੋਣਾਂ 'ਤੇ ਸਵਾਲ ਜਾਰੀ ਹਨ, ਜਦਕਿ ਜੇਲ੍ਹਾਂ ਚੋਂ ਕੈਦੀ ਫਰਾਰ ਹੋ ਰਹੇ ਹਨ।"
"ਡਾਂਸ ਦੇਖ ਰਣਵੀਰ ਸਿੰਘ ਨੇ ਕਿਹਾ Superb ਸ਼ਾਹਰੁਖ ਖਾਨ ਤੇ ਰਜਨੀਕਾਂਤ ਮੁੜ ਹੋਣਗੇ ਇਕੱਠੇ","ਰਣਵੀਰ ਸਿੰਘ ਨੇ ਡਾਂਸ ਦੇਖ ਕੇ ਕਿਹਾ ‘Superb’, ਸ਼ਾਹਰੁਖ ਖਾਨ ਤੇ ਰਜਨੀਕਾਂਤ ਮੁੜ ਇਕੱਠੇ ਹੋਣਗੇ","ਰਣਵੀਰ ਸਿੰਘ ਨੇ ਡਾਂਸ ਦੀ ਤਾਰੀਫ਼ ਕੀਤੀ; ਸ਼ਾਹਰੁਖ ਅਤੇ ਰਜਨੀਕਾਂਤ ਮੁੜ ਇਕੱਠੇ ਕੰਮ ਕਰਨਗੇ।"
"ਜੇਲਰ ਚ ਕਿੰਗ ਖਾਨ ਦੇ ਕੈਮਿਓ ਦੀਆਂ ਚਰਚਾਵਾਂ ਤੇਜ਼ ਕੈਟਰੀਨਾ ਕੈਫ਼ ਤੇ ਵਿੱਕੀ ਕੌਸ਼ਲ ਨੇ ਬੇਟੇ ਨਾਲ ਮਨਾਇਆ ਪਹਿਲਾ ਕ੍ਰਿਸਮਸ","ਫ਼ਿਲਮ ‘ਜੇਲਰ’ ਵਿੱਚ ਸ਼ਾਹਰੁਖ ਖਾਨ ਦੇ ਕੈਮਿਓ ਦੀ ਚਰਚਾ ਤੇਜ਼, ਕੈਟਰੀਨਾ ਕੈਫ਼ ਤੇ ਵਿੱਕੀ ਕੌਸ਼ਲ ਨੇ ਬੇਟੇ ਨਾਲ ਪਹਿਲਾ ਕ੍ਰਿਸਮਸ ਮਨਾਇਆ","ਸ਼ਾਹਰੁਖ ਦੇ 'ਜੇਲਰ' ਫਿਲਮ 'ਚ ਆਉਣ ਦੀ ਚਰਚਾ ਹੈ; ਕੈਟਰੀਨਾ ਤੇ ਵਿੱਕੀ ਨੇ ਬੇਟੇ ਨਾਲ ਕ੍ਰਿਸਮਸ ਮਨਾਈ।"
"ਲੁਟੇਰਿਆਂ ਨਾਲ ਹੋਇਆ ਮੁਕਾਬਲਾ ਚੱਲੀਆਂ ਗੋਲ਼ੀਆਂ ਹੁਸ਼ਿਆਰਪੁਰ ਵਿਚ ਪੰਜਾਬ ਪੁਲਸ ਵੱਲੋਂ ਐਨਕਾਊਂਟਰ ਕਰ ਦਿੱਤਾ ਗਿਆ","ਲੁਟੇਰਿਆਂ ਨਾਲ ਮੁਕਾਬਲਾ, ਗੋਲੀਆਂ ਚੱਲੀਆਂ, ਹੁਸ਼ਿਆਰਪੁਰ ਵਿੱਚ ਪੰਜਾਬ ਪੁਲਸ ਨੇ ਐਨਕਾਊਂਟਰ ਕੀਤਾ","ਹੁਸ਼ਿਆਰਪੁਰ ਵਿੱਚ ਪੰਜਾਬ ਪੁਲਸ ਦਾ ਲੁਟੇਰਿਆਂ ਨਾਲ ਮੁਕਾਬਲਾ ਹੋਇਆ।"
"ਨੋਟ ਇਸ ਖ਼ਬਰ ਬਾਰੇ ਕੁਮੈਂਟ ਕਰ ਦਿਓ ਰਾਏ","ਨੋਟ: ਇਸ ਖ਼ਬਰ ਬਾਰੇ ਆਪਣੀ ਰਾਏ ਦਿਓ","ਇਸ ਖ਼ਬਰ ਬਾਰੇ ਆਪਣੀ ਰਾਏ ਕੁਮੈਂਟ ਕਰੋ।"
"ਅੱਤਵਾਦੀ ਕੀਤੇ ਢੇਰ ਨਵੇਂ ਸਾਲ ਤੋਂ ਪਹਿਲਾਂ ਵੱਡੇ ਅੱਤਵਾਦੀ ਹਮਲੇ ਦੀ ਸਾਜ਼ਿਸ਼ ਨਾਕਾਮ ਸ਼ੱਕੀ ਇਟਲੀ ਦੇ ਇਸ ਪਿੰਡ ਚ ਸਾਲਾਂ ਬਾਅਦ ਗੂੰਜੀ ਕਿਲਕਾਰੀ","ਅੱਤਵਾਦੀ ਮਾਰੇ ਗਏ, ਨਵੇਂ ਸਾਲ ਤੋਂ ਪਹਿਲਾਂ ਵੱਡਾ ਹਮਲਾ ਨਾਕਾਮ, ਇਟਲੀ ਦੇ ਪਿੰਡ ਵਿੱਚ ਸਾਲਾਂ ਬਾਅਦ ਬੱਚੇ ਦੀ ਆਵਾਜ਼","ਨਵੇਂ ਸਾਲ ਤੋਂ ਪਹਿਲਾਂ ਵੱਡੀ ਅੱਤਵਾਦੀ ਸਾਜ਼ਿਸ਼ ਨਾਕਾਮ; ਇਟਲੀ ਦੇ ਇੱਕ ਪਿੰਡ 'ਚ ਸਾਲਾਂ ਬਾਅਦ ਬੱਚਾ ਜੰਮਿਆ।"
